,timestamp,logNumber,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1,UAV3x,UAV3y,UAV3z,distance_3_to_1,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z
960,74607,1,629.0,628.0,622.0,0.0,80.0,-0.019204745,1.2236332,0.45616668,1.3060379019899933,,,,,,0.45309657,0.60480165,0.4404842
961,65384,0,,,,,,-0.019548912,1.2233428,0.45638493,1.3058472000547185,722.0,628.0,623.0,0.0,80.0,0.45300418,0.6081,0.4401273
962,74707,1,630.0,629.0,623.0,0.0,79.0,-0.020843431,1.2241288,0.45622647,1.3065483004832021,,,,,,0.4537172,0.61444074,0.4398398
963,65484,0,,,,,,-0.021430304,1.2246299,0.45607787,1.3069753728974312,723.0,629.0,624.0,0.0,78.0,0.4534282,0.6184961,0.43957433
964,74807,1,631.0,630.0,624.0,0.0,76.0,-0.021954937,1.2253904,0.45575136,1.3075828988233256,,,,,,0.45364255,0.62318254,0.4388049
965,65584,0,,,,,,-0.02214386,1.2256896,0.45562094,1.307821055293542,724.0,630.0,625.0,0.0,78.0,0.45337945,0.6248407,0.43831006
966,74907,1,632.0,631.0,625.0,0.0,80.0,-0.022401573,1.2266521,0.45458922,1.3083687069364214,,,,,,0.45357537,0.6265464,0.43735626
967,65684,0,,,,,,-0.022339256,1.2276853,0.45382416,1.309070925494116,725.0,631.0,626.0,0.0,79.0,0.4541953,0.6249659,0.4376183
968,75007,1,633.0,632.0,626.0,0.0,79.0,-0.021309486,1.2279676,0.45333344,1.3091484924162062,,,,,,0.45400432,0.62090343,0.43683773
969,65784,0,,,,,,-0.02085967,1.2281096,0.45254114,1.309000304338548,726.0,632.0,627.0,0.0,78.0,0.45469758,0.6153405,0.4368153
970,75107,1,634.0,633.0,627.0,0.0,77.0,-0.018999098,1.228437,0.4509203,1.3087197665530133,,,,,,0.45473483,0.59160274,0.4348695
971,65884,0,,,,,,-0.017606411,1.2289772,0.4506058,1.3090991359858792,727.0,633.0,628.0,0.0,77.0,0.45555434,0.57429737,0.43302572
972,75207,1,635.0,634.0,628.0,0.0,77.0,-0.016399015,1.2296612,0.4495618,1.3093668222380028,,,,,,0.45608026,0.5397973,0.42944857
973,65984,0,,,,,,-0.01445817,1.2299306,0.4498298,1.309688991088659,728.0,634.0,629.0,0.0,76.0,0.456352,0.52039075,0.42685455
974,75307,1,636.0,635.0,629.0,0.0,78.0,-0.012621741,1.2307819,0.44944042,1.310335879102137,,,,,,0.4569696,0.47467482,0.42266384
975,66084,0,,,,,,-0.011206185,1.231285,0.44892442,1.310618711767227,729.0,635.0,630.0,0.0,80.0,0.45755625,0.4400379,0.42116782
976,75407,1,637.0,636.0,630.0,0.0,85.0,-0.008912327,1.2315547,0.44866657,1.31076627087072,,,,,,0.458848,0.37590787,0.41902065
977,66184,0,,,,,,-0.0074433815,1.233228,0.4476872,1.3119948408087754,730.0,636.0,631.0,0.0,87.0,0.45963395,0.3361671,0.42020562
978,75507,1,638.0,637.0,631.0,0.0,91.0,-0.0053492575,1.2333148,0.44755837,1.3120222524473426,,,,,,0.46041545,0.27632388,0.420608
979,66284,0,,,,,,-0.004632036,1.2331338,0.44775584,1.311916804601106,731.0,637.0,632.0,0.0,95.0,0.4614944,0.23524474,0.42258728
980,75607,1,639.0,638.0,632.0,0.0,98.0,-0.0041789007,1.2339245,0.4473595,1.3125234013915055,,,,,,0.46179292,0.1928067,0.42454743
981,66384,0,,,,,,-0.003306719,1.2343372,0.447318,1.31289476581376,732.0,638.0,633.0,0.0,100.0,0.4625027,0.12640837,0.42926142
