,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.computenum2,Statistic.recvSeq13,Statistic.recvNum13,Statistic.computenum13
6153,101057,log0,0,0,0,3364,3235,460
6154,103541,log1,1970,1925,456,0,0,0
6155,101087,log0,0,0,0,3365,3236,460
6156,103571,log1,1971,1926,457,0,0,0
6157,101117,log0,0,0,0,3366,3237,460
6158,103601,log1,1971,1926,457,0,0,0
6159,101147,log0,0,0,0,3367,3238,461
6160,103631,log1,1972,1927,457,0,0,0
6161,101177,log0,0,0,0,3368,3239,461
6162,103661,log1,1973,1928,457,0,0,0
6163,101207,log0,0,0,0,3369,3240,461
6164,103691,log1,1973,1928,457,0,0,0
6165,101237,log0,0,0,0,3370,3241,461
6166,103721,log1,1974,1929,457,0,0,0
6167,101267,log0,0,0,0,3371,3242,461
6168,103751,log1,1974,1929,457,0,0,0
6169,101297,log0,0,0,0,3372,3243,461
6170,103781,log1,1975,1930,458,0,0,0
6171,101327,log0,0,0,0,3373,3244,461
6172,103811,log1,1976,1931,458,0,0,0
6173,101357,log0,0,0,0,3374,3245,462
6174,103841,log1,1976,1931,458,0,0,0
6175,101387,log0,0,0,0,3375,3246,462
6176,103871,log1,1977,1932,458,0,0,0
6177,101417,log0,0,0,0,3376,3247,462
6178,103901,log1,1977,1932,458,0,0,0
6179,101447,log0,0,0,0,3377,3248,462
6180,103931,log1,1978,1933,458,0,0,0
6181,101477,log0,0,0,0,3378,3249,462
6182,103961,log1,1979,1934,459,0,0,0
6183,101507,log0,0,0,0,3379,3250,462
6184,103991,log1,1979,1934,459,0,0,0
6185,101537,log0,0,0,0,3380,3251,462
6186,104021,log1,1980,1935,459,0,0,0
6187,101567,log0,0,0,0,3381,3252,463
6188,104051,log1,1980,1935,459,0,0,0
6189,101597,log0,0,0,0,3382,3253,463
6190,104081,log1,1981,1936,459,0,0,0
6191,101627,log0,0,0,0,3383,3254,463
6192,104111,log1,1982,1937,459,0,0,0
6193,101657,log0,0,0,0,3384,3255,463
6194,104141,log1,1982,1937,459,0,0,0
6195,101687,log0,0,0,0,3385,3256,463
6196,104171,log1,1983,1938,460,0,0,0
6197,101717,log0,0,0,0,3386,3257,463
6198,104201,log1,1983,1938,460,0,0,0
6199,101747,log0,0,0,0,3387,3258,463
6200,104231,log1,1984,1939,460,0,0,0
6201,101777,log0,0,0,0,3388,3259,464
6202,104261,log1,1985,1940,460,0,0,0
6203,101807,log0,0,0,0,3389,3260,464
6204,104291,log1,1985,1940,460,0,0,0
6205,101837,log0,0,0,0,3390,3261,464
6206,104321,log1,1986,1941,460,0,0,0
6207,101867,log0,0,0,0,3391,3262,464
6208,104351,log1,1986,1941,460,0,0,0
6209,101897,log0,0,0,0,3392,3263,464
6210,104381,log1,1987,1942,461,0,0,0
6211,101927,log0,0,0,0,3393,3264,464
6212,104411,log1,1988,1943,461,0,0,0
6213,101957,log0,0,0,0,3394,3265,464
6214,104441,log1,1988,1943,461,0,0,0
6215,101987,log0,0,0,0,3395,3266,465
6216,104471,log1,1989,1944,461,0,0,0
6217,102017,log0,0,0,0,3396,3267,465
6218,104501,log1,1989,1944,461,0,0,0
6219,102047,log0,0,0,0,3397,3268,465
6220,104531,log1,1990,1945,461,0,0,0
6221,102077,log0,0,0,0,3398,3269,465
6222,104561,log1,1991,1946,462,0,0,0
6223,102107,log0,0,0,0,3399,3270,465
6224,104591,log1,1991,1946,462,0,0,0
6225,102137,log0,0,0,0,3400,3271,465
6226,104621,log1,1992,1947,462,0,0,0
6227,102167,log0,0,0,0,3401,3272,465
6228,104651,log1,1992,1947,462,0,0,0
6229,102197,log0,0,0,0,3402,3273,466
6230,104681,log1,1993,1948,462,0,0,0
6231,102227,log0,0,0,0,3403,3274,466
6232,104711,log1,1994,1949,462,0,0,0
