,timestamp,logNumber,Statistic.recvSeq3,Statistic.recvNum3,Statistic.compute1num3,Statistic.compute2num3,Statistic.dist3,UAV0x,UAV0y,UAV0z,distance_3_to_1,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
183,75908,1,,,,,,0.8326362,0.68069136,0.6374871,1.2502054045306312,1478.0,489.0,483.0,0.0,161.0
184,224048,0,490.0,1236.0,1221.0,2.0,160.0,0.83644503,0.6876033,0.6376017,1.256572512599279,,,,,
185,224148,0,491.0,1237.0,1222.0,2.0,170.0,0.8730608,0.74556273,0.6338922,1.3114565495832466,,,,,
186,76008,1,,,,,,0.8770447,0.7525986,0.63405555,1.3181951454865375,1478.0,489.0,483.0,0.0,161.0
187,76108,1,,,,,,0.91312873,0.81066203,0.62910587,1.373590624442333,1479.0,490.0,484.0,0.0,172.0
188,224248,0,491.0,1237.0,1222.0,2.0,170.0,0.9170322,0.8175334,0.6289319,1.3801681601269398,,,,,
189,224348,0,492.0,1238.0,1222.0,2.0,170.0,0.95362955,0.87708294,0.62484723,1.4384428665843563,,,,,
190,76208,1,,,,,,0.95749885,0.8847382,0.6256055,1.4460110686250383,1480.0,491.0,485.0,0.0,185.0
191,76308,1,,,,,,0.99073845,0.9362122,0.6221038,1.4983554584459606,1480.0,491.0,485.0,0.0,185.0
192,224448,0,493.0,1239.0,1223.0,2.0,193.0,0.99466914,0.94243807,0.622126,1.5048577820252784,,,,,
193,224548,0,493.0,1239.0,1223.0,2.0,193.0,1.0343547,1.0046653,0.6242058,1.5712653528377263,,,,,
194,76408,1,,,,,,1.0374842,1.0085562,0.62328094,1.5754485827919988,1481.0,492.0,486.0,0.0,195.0
195,224648,0,494.0,1240.0,1224.0,2.0,207.0,1.0571193,1.0386051,0.62161875,1.607050564869383,,,,,
196,76508,1,,,,,,1.0590371,1.0414256,0.62101734,1.6099035188249284,1482.0,493.0,487.0,0.0,210.0
197,76608,1,,,,,,1.0706365,1.0600094,0.61229867,1.6262816608609358,1482.0,493.0,487.0,0.0,210.0
198,224748,0,495.0,1241.0,1225.0,2.0,215.0,1.0710799,1.060977,0.6112161,1.626797269806706,,,,,
199,76708,1,,,,,,1.0705839,1.0639119,0.60307217,1.6253475234770467,1483.0,494.0,488.0,0.0,213.0
200,224848,0,495.0,1241.0,1225.0,2.0,215.0,1.0703208,1.0625104,0.60083944,1.623429403249737,,,,,
201,76808,1,,,,,,1.0646554,1.0564946,0.595528,1.6137923047938934,1484.0,495.0,489.0,0.0,215.0
202,224948,0,496.0,1242.0,1226.0,2.0,217.0,1.0637549,1.0556363,0.5953885,1.6125848580088913,,,,,
203,225048,0,497.0,1243.0,1227.0,2.0,216.0,1.0572507,1.0470799,0.5942176,1.6022640350693353,,,,,
204,76908,1,,,,,,1.0563936,1.0456028,0.59407884,1.6006818441995865,1484.0,495.0,489.0,0.0,215.0
205,225148,0,497.0,1243.0,1227.0,2.0,216.0,1.0474067,1.0336697,0.6003313,1.5893179313033725,,,,,
206,77008,1,,,,,,1.046869,1.032519,0.60075986,1.5883773638458234,1485.0,496.0,490.0,0.0,213.0
207,77108,1,,,,,,1.0422704,1.0276685,0.60854876,1.585169304244547,1486.0,497.0,491.0,0.0,213.0
208,225248,0,498.0,1244.0,1228.0,2.0,216.0,-0.11479738,-0.88312054,0.68987095,1.1265000019352627,,,,,
209,225348,0,499.0,1245.0,1229.0,2.0,215.0,1.0417112,1.025233,0.61206,1.584576432482261,,,,,
210,77208,1,,,,,,1.0417882,1.0253882,0.61220324,1.5847828078716402,1486.0,497.0,491.0,0.0,213.0
211,225448,0,499.0,1245.0,1229.0,2.0,215.0,1.0440319,1.0288967,0.61188793,1.5884073029444001,,,,,
212,77308,1,,,,,,1.0444485,1.0294116,0.61166173,1.5889275884563918,1487.0,498.0,492.0,0.0,213.0
213,225548,0,500.0,1246.0,1230.0,2.0,215.0,1.04826,1.0351993,0.61011535,1.5945931362825718,,,,,
