,timestamp,logNumber,Statistic.recvSeq13,Statistic.recvNum13,Statistic.compute1num13,Statistic.compute2num13
510,45385,log0,799,644,579,50
511,45445,log0,800,645,580,50
512,45505,log0,801,646,580,51
513,45565,log0,802,647,581,51
514,45625,log0,803,648,582,51
515,45685,log0,804,649,583,51
516,45745,log0,805,650,584,51
517,45805,log0,806,651,585,51
518,45865,log0,807,652,586,51
519,45925,log0,808,653,587,51
520,45985,log0,809,654,588,51
521,46045,log0,810,655,589,51
522,46105,log0,811,656,590,51
523,46165,log0,812,657,591,51
524,46225,log0,813,658,592,51
525,46285,log0,814,659,593,51
526,46345,log0,815,660,594,51
527,46405,log0,816,661,595,51
528,46465,log0,817,662,596,51
529,46525,log0,818,663,597,51
530,46585,log0,819,664,598,51
531,46645,log0,820,665,599,51
532,46705,log0,821,666,600,51
533,46765,log0,822,667,601,51
534,46825,log0,823,668,602,51
535,46885,log0,824,669,602,52
536,46945,log0,825,670,603,52
537,47005,log0,826,671,604,52
538,47065,log0,827,672,605,52
539,47125,log0,828,673,606,52
540,47185,log0,829,674,607,52
541,47245,log0,830,675,608,52
542,47305,log0,831,676,609,52
543,47365,log0,832,677,610,52
544,47425,log0,833,678,611,52
545,47485,log0,834,679,612,52
546,47545,log0,835,680,613,52
547,47605,log0,836,681,614,52
548,47665,log0,837,682,615,52
549,47725,log0,838,683,616,52
550,47785,log0,839,684,617,52
551,47845,log0,840,685,618,52
552,47905,log0,841,686,619,52
553,47965,log0,842,687,620,52
554,48025,log0,843,688,621,52
555,48085,log0,844,689,622,52
556,48145,log0,845,690,623,52
557,48205,log0,846,691,624,52
558,48265,log0,847,692,625,52
559,48325,log0,848,693,626,52
560,48385,log0,849,694,627,52
561,48445,log0,850,695,628,52
562,48505,log0,851,696,629,52
563,48565,log0,852,697,630,52
564,48625,log0,853,698,631,52
565,48685,log0,854,699,632,52
566,48745,log0,855,700,633,52
567,48805,log0,856,701,634,52
568,48865,log0,857,702,635,52
569,48925,log0,858,703,636,52
