,timestamp,logNumber,Statistic.recvSeq2,Statistic.recvNum2,Statistic.compute1num2,Statistic.compute2num2,Statistic.dist2,Statistic.recvSeq1,Statistic.recvNum1,Statistic.compute1num1,Statistic.compute2num1,Statistic.dist1
246,24590,1,,,,,,299.0,298.0,147.0,147.0,44.0
247,17536,0,221.0,149.0,146.0,0.0,44.0,,,,,
248,24640,1,,,,,,300.0,299.0,147.0,148.0,44.0
249,17586,0,222.0,150.0,147.0,0.0,44.0,,,,,
250,24690,1,,,,,,301.0,300.0,148.0,148.0,44.0
251,17636,0,222.0,150.0,147.0,0.0,44.0,,,,,
252,24740,1,,,,,,302.0,301.0,148.0,149.0,42.0
253,17686,0,223.0,151.0,148.0,0.0,43.0,,,,,
254,24790,1,,,,,,303.0,302.0,149.0,149.0,43.0
255,17736,0,223.0,151.0,148.0,0.0,43.0,,,,,
256,24840,1,,,,,,304.0,303.0,149.0,150.0,43.0
257,17786,0,224.0,152.0,149.0,0.0,43.0,,,,,
258,24890,1,,,,,,305.0,304.0,150.0,150.0,43.0
259,17836,0,224.0,152.0,149.0,0.0,43.0,,,,,
260,24940,1,,,,,,306.0,305.0,150.0,151.0,44.0
261,17886,0,225.0,153.0,150.0,0.0,43.0,,,,,
262,24990,1,,,,,,307.0,306.0,151.0,151.0,43.0
263,17936,0,225.0,153.0,150.0,0.0,43.0,,,,,
264,25040,1,,,,,,308.0,307.0,151.0,152.0,43.0
265,17986,0,226.0,154.0,151.0,0.0,43.0,,,,,
266,25090,1,,,,,,309.0,308.0,152.0,152.0,42.0
267,18036,0,226.0,154.0,151.0,0.0,43.0,,,,,
268,25140,1,,,,,,310.0,309.0,152.0,153.0,42.0
269,18086,0,227.0,155.0,152.0,0.0,42.0,,,,,
270,25190,1,,,,,,311.0,310.0,153.0,153.0,43.0
271,18136,0,227.0,155.0,152.0,0.0,42.0,,,,,
272,25240,1,,,,,,312.0,311.0,153.0,154.0,44.0
273,18186,0,228.0,156.0,153.0,0.0,44.0,,,,,
274,25290,1,,,,,,313.0,312.0,154.0,154.0,44.0
275,18236,0,228.0,156.0,153.0,0.0,44.0,,,,,
276,25340,1,,,,,,314.0,313.0,154.0,155.0,44.0
277,18286,0,229.0,157.0,154.0,0.0,45.0,,,,,
278,25390,1,,,,,,315.0,314.0,155.0,155.0,45.0
279,18336,0,229.0,157.0,154.0,0.0,45.0,,,,,
280,25440,1,,,,,,316.0,315.0,155.0,156.0,44.0
281,18386,0,230.0,158.0,155.0,0.0,45.0,,,,,
282,25490,1,,,,,,317.0,316.0,156.0,156.0,44.0
283,18436,0,230.0,158.0,155.0,0.0,45.0,,,,,
284,25540,1,,,,,,318.0,317.0,156.0,157.0,44.0
285,18486,0,231.0,159.0,156.0,0.0,45.0,,,,,
286,25590,1,,,,,,319.0,318.0,157.0,157.0,45.0
287,18536,0,231.0,159.0,156.0,0.0,45.0,,,,,
288,25640,1,,,,,,320.0,319.0,157.0,158.0,44.0
289,18586,0,232.0,160.0,157.0,0.0,45.0,,,,,
290,25690,1,,,,,,321.0,320.0,158.0,158.0,45.0
291,18636,0,232.0,160.0,157.0,0.0,45.0,,,,,
292,25740,1,,,,,,322.0,321.0,158.0,159.0,44.0
293,18686,0,233.0,161.0,158.0,0.0,45.0,,,,,
294,25790,1,,,,,,323.0,322.0,159.0,159.0,45.0
295,18736,0,233.0,161.0,158.0,0.0,45.0,,,,,
296,25840,1,,,,,,324.0,323.0,159.0,160.0,45.0
297,18786,0,234.0,162.0,159.0,0.0,45.0,,,,,
298,25890,1,,,,,,325.0,324.0,160.0,160.0,43.0
299,18836,0,234.0,162.0,159.0,0.0,45.0,,,,,
300,25940,1,,,,,,326.0,325.0,160.0,161.0,44.0
301,18886,0,235.0,163.0,160.0,0.0,43.0,,,,,
302,25990,1,,,,,,327.0,326.0,161.0,161.0,43.0
303,18936,0,235.0,163.0,160.0,0.0,43.0,,,,,
304,26040,1,,,,,,328.0,327.0,161.0,162.0,42.0
305,18986,0,236.0,164.0,161.0,0.0,43.0,,,,,
306,26090,1,,,,,,329.0,328.0,162.0,162.0,44.0
307,19036,0,236.0,164.0,161.0,0.0,43.0,,,,,
308,26140,1,,,,,,330.0,329.0,162.0,163.0,44.0
309,19086,0,237.0,165.0,162.0,0.0,45.0,,,,,
310,26190,1,,,,,,331.0,330.0,163.0,163.0,44.0
311,19136,0,237.0,165.0,162.0,0.0,45.0,,,,,
312,26240,1,,,,,,332.0,331.0,163.0,164.0,44.0
313,19186,0,238.0,166.0,163.0,0.0,44.0,,,,,
314,26290,1,,,,,,333.0,332.0,164.0,164.0,42.0
315,19236,0,238.0,166.0,163.0,0.0,44.0,,,,,
316,26340,1,,,,,,334.0,333.0,164.0,165.0,43.0
317,19286,0,239.0,167.0,164.0,0.0,43.0,,,,,
318,26390,1,,,,,,335.0,334.0,165.0,165.0,45.0
319,19336,0,239.0,167.0,164.0,0.0,43.0,,,,,
320,26440,1,,,,,,336.0,335.0,165.0,166.0,45.0
321,19386,0,240.0,168.0,165.0,0.0,45.0,,,,,
322,26490,1,,,,,,337.0,336.0,166.0,166.0,46.0
323,19436,0,240.0,168.0,165.0,0.0,45.0,,,,,
324,26540,1,,,,,,338.0,337.0,166.0,167.0,44.0
325,19486,0,241.0,169.0,166.0,0.0,46.0,,,,,
326,26590,1,,,,,,339.0,338.0,167.0,167.0,45.0
327,19536,0,241.0,169.0,166.0,0.0,46.0,,,,,
328,26640,1,,,,,,340.0,339.0,167.0,168.0,44.0
329,19586,0,242.0,170.0,167.0,0.0,45.0,,,,,
330,26690,1,,,,,,341.0,340.0,168.0,168.0,45.0
331,19636,0,242.0,170.0,167.0,0.0,45.0,,,,,
332,26740,1,,,,,,342.0,341.0,168.0,169.0,45.0
333,19686,0,243.0,171.0,168.0,0.0,45.0,,,,,
334,26790,1,,,,,,343.0,342.0,169.0,169.0,44.0
335,19736,0,243.0,171.0,168.0,0.0,45.0,,,,,
336,26840,1,,,,,,344.0,343.0,169.0,170.0,43.0
337,19786,0,244.0,172.0,169.0,0.0,44.0,,,,,
338,26890,1,,,,,,345.0,344.0,170.0,170.0,45.0
339,19836,0,244.0,172.0,169.0,0.0,44.0,,,,,
340,26940,1,,,,,,346.0,345.0,170.0,171.0,44.0
341,19886,0,245.0,173.0,170.0,0.0,45.0,,,,,
342,26990,1,,,,,,347.0,346.0,171.0,171.0,44.0
343,19936,0,245.0,173.0,170.0,0.0,45.0,,,,,
344,27040,1,,,,,,348.0,347.0,171.0,172.0,45.0
345,19986,0,246.0,174.0,171.0,0.0,45.0,,,,,
346,27090,1,,,,,,349.0,348.0,172.0,172.0,44.0
347,20036,0,246.0,174.0,171.0,0.0,45.0,,,,,
348,27140,1,,,,,,350.0,349.0,172.0,173.0,44.0
349,20086,0,247.0,175.0,172.0,0.0,44.0,,,,,
350,27190,1,,,,,,351.0,350.0,173.0,173.0,44.0
351,20136,0,247.0,175.0,172.0,0.0,44.0,,,,,
352,27240,1,,,,,,352.0,351.0,173.0,174.0,43.0
353,20186,0,248.0,176.0,173.0,0.0,43.0,,,,,
354,27290,1,,,,,,353.0,352.0,174.0,174.0,42.0
355,20236,0,248.0,176.0,173.0,0.0,43.0,,,,,
356,27340,1,,,,,,354.0,353.0,174.0,175.0,43.0
357,20286,0,249.0,177.0,174.0,0.0,43.0,,,,,
358,27390,1,,,,,,355.0,354.0,175.0,175.0,44.0
359,20336,0,249.0,177.0,174.0,0.0,43.0,,,,,
360,27440,1,,,,,,356.0,355.0,175.0,176.0,44.0
361,20386,0,250.0,178.0,175.0,0.0,44.0,,,,,
362,27490,1,,,,,,357.0,356.0,176.0,176.0,44.0
363,20436,0,250.0,178.0,175.0,0.0,44.0,,,,,
364,27540,1,,,,,,358.0,357.0,176.0,177.0,43.0
365,20486,0,251.0,179.0,176.0,0.0,44.0,,,,,
366,27590,1,,,,,,359.0,358.0,177.0,177.0,44.0
367,20536,0,251.0,179.0,176.0,0.0,44.0,,,,,
368,27640,1,,,,,,360.0,359.0,177.0,178.0,44.0
369,20586,0,252.0,180.0,177.0,0.0,44.0,,,,,
370,27690,1,,,,,,361.0,360.0,178.0,178.0,44.0
371,20636,0,252.0,180.0,177.0,0.0,44.0,,,,,
372,27740,1,,,,,,362.0,361.0,178.0,179.0,45.0
373,20686,0,253.0,181.0,178.0,0.0,44.0,,,,,
374,27790,1,,,,,,363.0,362.0,179.0,179.0,44.0
375,20736,0,253.0,181.0,178.0,0.0,44.0,,,,,
376,27840,1,,,,,,364.0,363.0,179.0,180.0,44.0
377,20786,0,254.0,182.0,179.0,0.0,44.0,,,,,
378,27890,1,,,,,,365.0,364.0,180.0,180.0,43.0
379,20836,0,254.0,182.0,179.0,0.0,44.0,,,,,
380,27940,1,,,,,,366.0,365.0,180.0,181.0,45.0
381,20886,0,255.0,183.0,180.0,0.0,43.0,,,,,
382,27990,1,,,,,,367.0,366.0,181.0,181.0,43.0
383,20936,0,255.0,183.0,180.0,0.0,43.0,,,,,
384,28040,1,,,,,,368.0,367.0,181.0,182.0,44.0
385,20986,0,256.0,184.0,181.0,0.0,44.0,,,,,
386,28090,1,,,,,,369.0,368.0,182.0,182.0,45.0
387,21036,0,256.0,184.0,181.0,0.0,44.0,,,,,
388,28140,1,,,,,,370.0,369.0,182.0,183.0,44.0
389,21086,0,257.0,185.0,182.0,0.0,44.0,,,,,
390,28190,1,,,,,,371.0,370.0,183.0,183.0,42.0
391,21136,0,257.0,185.0,182.0,0.0,44.0,,,,,
392,28240,1,,,,,,372.0,371.0,183.0,184.0,43.0
393,21186,0,258.0,186.0,183.0,0.0,43.0,,,,,
394,28290,1,,,,,,373.0,372.0,184.0,184.0,45.0
395,21236,0,258.0,186.0,183.0,0.0,43.0,,,,,
396,28340,1,,,,,,374.0,373.0,184.0,185.0,45.0
397,21286,0,259.0,187.0,184.0,0.0,45.0,,,,,
398,28390,1,,,,,,375.0,374.0,185.0,185.0,44.0
399,21336,0,259.0,187.0,184.0,0.0,45.0,,,,,
400,28440,1,,,,,,376.0,375.0,185.0,186.0,43.0
401,21386,0,260.0,188.0,185.0,0.0,44.0,,,,,
402,28490,1,,,,,,377.0,376.0,186.0,186.0,44.0
403,21436,0,260.0,188.0,185.0,0.0,44.0,,,,,
404,28540,1,,,,,,378.0,377.0,186.0,187.0,44.0
405,21486,0,261.0,189.0,186.0,0.0,44.0,,,,,
406,28590,1,,,,,,379.0,378.0,187.0,187.0,44.0
407,21536,0,261.0,189.0,186.0,0.0,44.0,,,,,
408,28640,1,,,,,,380.0,379.0,187.0,188.0,43.0
409,21586,0,262.0,190.0,187.0,0.0,44.0,,,,,
410,28690,1,,,,,,381.0,380.0,188.0,188.0,42.0
411,21636,0,262.0,190.0,187.0,0.0,44.0,,,,,
412,28740,1,,,,,,382.0,381.0,188.0,189.0,43.0
413,21686,0,263.0,191.0,188.0,0.0,43.0,,,,,
414,28790,1,,,,,,383.0,382.0,189.0,189.0,43.0
415,21736,0,263.0,191.0,188.0,0.0,43.0,,,,,
416,28840,1,,,,,,384.0,383.0,189.0,190.0,43.0
417,21786,0,264.0,192.0,189.0,0.0,43.0,,,,,
418,28890,1,,,,,,385.0,384.0,190.0,190.0,42.0
419,21836,0,264.0,192.0,189.0,0.0,43.0,,,,,
420,28940,1,,,,,,386.0,385.0,190.0,191.0,42.0
421,21886,0,265.0,193.0,190.0,0.0,42.0,,,,,
