Ranging.distTo0,Ranging.truthDistTo0,Ranging.distTo2,Ranging.truthDistTo2,Ranging.distTo5,Ranging.truthDistTo5,Ranging.distTo7,Ranging.truthDistTo7,T
137,146.3136902,91,94.19971466,282,291.2487488,210,214.422699,13.98
142,146.3417969,87,94.69731903,284,291.2487488,209,214.422699,14.04
142,146.4163055,83,95.51420593,281,291.2487488,210,214.422699,14.1
143,146.7728577,83,94.31816101,281,288.2903442,207,214.422699,14.16
143,146.3692932,83,95.77836609,279,287.8771973,207,214.1592712,14.22
144,146.3692932,82,94.83530426,280,287.7478333,210,214.3656311,14.28
144,146.3692932,83,94.83530426,281,287.7478333,213,212.6404877,14.34
148,146.9888763,84,94.83530426,281,287.004364,211,212.6404877,14.4
149,146.9888763,88,94.83530426,283,285.1917725,213,211.8830109,14.46
151,146.9888763,92,97.20407867,281,285.1917725,213,211.8830109,14.52
151,147.5849152,97,98.94799805,281,286.6747437,213,211.83638,14.58
151,151.2519531,100,101.8941269,282,287.5589905,213,211.5509186,14.64
152,151.176239,103,102.8987732,281,287.2279968,211,211.7862701,14.7
157,151.176239,104,104.0963287,283,285.4745789,210,210.1480865,14.76
156,149.0126953,106,104.6609573,280,285.4745789,210,211.8139496,14.82
151,148.9742584,104,106.2261353,278,282.9685669,207,207.8139496,14.88
150,148.9574585,103,104.1381378,273,275.1713867,204,203.8139496,14.94
142,142.286499,99,101.358223,270,269.9062195,202,202.4237366,15
142,140.9345551,100,101.5260925,262,265.756012,201,201.8488007,15.06
136,139.3806915,98,105.3758087,258,266.9593506,197,197.6813202,15.12
136,139.4582977,92,108.8091888,254,266.9593506,195,196.6813202,15.18
135,139.7191925,88,100.0586395,250,257.9739075,193,193.6813202,15.24
135,132.0316162,91,103.0078735,243,247.9696045,193,193.6702423,15.3
131,129.2644196,89,101.2859726,241,247.1023254,191,192.1465302,15.36
131,129.7019653,93,101.2859726,238,247.1023254,183,183.7727203,15.42
126,129.9298553,94,104.711853,238,244.4360962,179,180.7727203,15.48
126,130.0151672,94,106.6341553,232,244.7693176,172,173.7727203,15.54
123,130.1841888,88,109.6607513,230,244.7693176,171,172.7727203,15.6
123,118.5162659,87,97.36771393,226,230.2349854,168,166.9058075,15.66
123,117.0881882,84,95.82249451,222,228.1258698,167,167.469574,15.72
123,115.7068787,82,95.74163818,220,219.4216461,167,166.1653595,15.78
115,112.9145966,83,94.76131439,215,215.4325409,167,166.1653595,15.84
115,111.4925995,87,93.26409912,209,209.3615723,164,164.1771851,15.9
114,109.2591171,91,92.5355072,205,207.2077637,162,163.7015076,15.96
114,108.6772003,91,94.71198273,198,207.2077637,159,160.8592834,16.02
106,108.6772003,89,96.65792847,199,200.4558868,155,156.8592834,16.08
106,104.7075653,87,91.6725235,195,198.3330231,152,148.359314,16.14
108,102.9972916,84,87.51799774,193,197.3624878,146,147.3748016,16.2
109,101.6517868,83,84.6248703,193,195.4707336,144,143.530426,16.26
121,101.6517868,82,92.77284241,190,195.4707336,142,143.123703,16.32
121,101.6517868,79,94.97223663,189,192.9339142,140,140.123703,16.38
124,100.2244186,84,97.23768616,188,192.329361,139,142.123703,16.44
125,100.2186737,87,98.57789612,184,190.1071777,138,143.123703,16.5
131,100.1757431,96,101.3661575,184,190.1071777,134,145.3608704,16.56
131,100.1913452,104,102.6863174,183,190.1071777,132,145.0446014,16.62
126,93.50154114,84,94.73930359,182,182.5618439,136,145.0446014,16.68
124,93.74555969,86,98.04325104,182,180.9308319,131,145.9820557,16.74
121,92.19805145,104,100.5881653,180,179.8794861,136,145.5098267,16.8
120,89.89287567,80,104.296875,184,178.1890869,132,142.342514,16.86
100,89.48535156,114,113.2369461,181,179.0442352,134,140.6880341,16.92
99,89.3327179,129,115.7265472,181,179.4086151,131,141.0960846,16.98
89,86.15276337,115,119.6323242,177,176.5930786,129,136.841568,17.04
88,85.8275528,118,126.4292374,176,176.5798492,129,136.841568,17.1
87,83.41407013,131,130.7272644,181,175.3469391,129,133.5726471,17.16
88,82.80301666,126,132.7897644,180,175.3469391,130,131.1717072,17.22
86,82.74539948,128,135.6217194,177,174.6112518,133,131.1717072,17.28
86,82.3698349,126,142.3812561,174,174.8987885,131,127.9004211,17.34
83,81.7762146,136,145.920639,175,177.8947144,128,133.8969116,17.4
83,81.7762146,144,147.7430573,176,178.2253113,127,132.243576,17.46
86,81.7762146,152,149.9069366,175,178.2253113,127,132.243576,17.52
86,81.35128784,159,150.3867188,180,178.2253113,131,133.6134644,17.58
89,81.29473877,151,152.5922546,178,178.2253113,134,134.489563,17.64
89,84.45082092,141,154.8200226,182,181.8102112,132,137.8539429,17.7
83,85.09815979,141,154.8200226,181,180.901535,131,137.8250732,17.76
83,85.09815979,141,154.8200226,183,182.5362854,135,139.4004364,17.82
87,87.06814575,141,154.8200226,181,182.3279266,136,138.4895477,17.88
87,87.15677643,141,154.8200226,182,181.5439148,136,138.4895477,17.94
87,87.11676788,133,159.9403687,183,181.2350922,135,138.3751373,18
87,89.6643219,133,159.9403687,186,184.0972595,136,137.7841797,18.06
88,90.24910736,125,157.6582336,184,184.6343079,138,142.4604492,18.12
88,91.45954895,128,159.7702484,182,185.7824707,140,142.6785126,18.18
89,91.32843781,128,159.7702484,184,186.2054596,144,142.6876831,18.24
89,91.92311096,128,159.7702484,183,186.795578,143,143.9084778,18.3
89,92.20864868,123,164.8661041,187,186.3482208,143,144.0307617,18.36
89,91.90812683,126,166.1282043,187,186.6651459,144,144.4194946,18.42
90,92.40697479,163,169.049118,187,187.1939087,145,144.1753235,18.48
90,92.3270874,169,169.8062286,188,186.7065735,145,142.6163788,18.54
94,91.54997253,173,170.4861298,190,187.8525238,142,143.0237427,18.6
94,91.25817108,177,170.4861298,187,187.6234589,144,144.4177856,18.66
90,92.28464508,177,171.4568024,188,190.1191559,143,145.7845459,18.72
90,92.45220184,178,174.4328156,189,189.289032,145,145.3109283,18.78
91,93.16969299,177,173.322464,187,190.9326172,146,146.1704254,18.84
91,92.91043091,175,173.322464,192,191.686142,148,147.6767578,18.9
94,93.89994812,179,172.236908,192,191.9674225,144,148.2597961,18.96
94,93.89994812,177,171.9881439,192,191.9674225,141,148.2597961,19.02
97,94.80506897,180,170.2841492,191,192.7362976,141,149.4889984,19.08
97,95.68836975,179,168.4016876,191,192.7404175,144,149.5737,19.14
97,94.99011993,176,167.1929016,192,192.9591675,145,149.7063599,19.2
97,95.27641296,170,165.7443085,192,192.9591675,143,149.6599731,19.26
99,95.41053009,171,165.7443085,192,193.1753845,144,151.1832733,19.32
99,95.89471436,170,159.2947693,190,193.1581421,144,151.4166412,19.38
102,97.31869507,165,157.6320801,192,193.2471008,144,150.2515411,19.44
102,96.28106689,165,155.7852783,193,193.1400909,142,150.0059357,19.5
98,96.11673737,160,155.2147522,196,192.8362122,142,150.0059357,19.56
99,96.11673737,163,153.0980225,194,192.6470184,140,150.0059357,19.62
101,96.11673737,155,153.0980225,192,192.4088593,138,150.0059357,19.68
101,95.5304184,151,153.0980225,191,192.4088593,139,147.1757965,19.74
98,95.47019958,141,153.0980225,191,192.4088593,142,147.1757965,19.8
98,95.18582916,144,145.5429077,188,190.0342255,139,146.1397247,19.86
92,91.77942657,148,143.9455872,186,189.8643036,140,146.1397247,19.92
92,91.77942657,130,139.9069061,185,189.0121613,134,148.6744843,19.98
96,89.92079926,127,132.9303284,185,187.2510834,133,150.1796417,20.04
97,89.47720337,139,127.8775177,184,187.0134125,133,150.9436188,20.1
103,89.36626434,139,127.8775177,184,187.0134125,132,143.1639099,20.16
104,89.40936279,130,119.3124084,184,187.6603088,132,144.5513916,20.22
121,90.35758972,133,116.7455978,183,187.3418274,131,143.5205231,20.28
118,90.66514587,129,114.6139755,183,189.6227264,131,145.197113,20.34
118,89.80143738,129,113.1887741,187,189.8563843,131,147.2757568,20.4
110,90.31140137,95,104.337532,186,191.4668427,130,144.4992676,20.46
104,90.66336823,86,100.8418579,191,190.2755737,135,144.4992676,20.52
105,91.52693176,73,98.36727142,190,191.2762146,134,147.2472534,20.58
101,91.40668488,59,96.96008301,194,191.8493958,133,148.8026123,20.64
100,91.86010742,60,96.34355927,196,191.8493958,132,148.8026123,20.7
104,91.86010742,84,96.44322968,196,193.821106,132,152.4068451,20.76
105,94.64156342,86,93.50474548,194,194.0005493,126,154.2188721,20.82
99,95.61573792,84,90.60806274,197,199.3394928,124,155.2526245,20.88
98,95.25985718,85,90.60806274,198,200.3192291,128,157.7875214,20.94
57,97.04811096,85,87.83654785,200,202.3072968,131,158.9402008,21
57,97.33229065,83,86.72121429,202,205.5831604,140,161.4056091,21.06
98,98.51126099,81,85.24562836,203,206.1613312,143,163.4478302,21.12
106,100.0050125,80,84.68565369,206,213.0318146,146,165.6448212,21.18
128,101.5820618,89,83.63917542,209,215.0820007,145,165.6448212,21.24
126,101.6191025,90,83.63917542,213,217.2256165,153,165.6448212,21.3
100,101.6381989,85,83.63917542,214,217.2256165,159,165.6448212,21.36
